Time,,,,,,Lidar1,Lidar2
487,,,,,,82,61
488,,,,,,84,65
489,,,,,,80,63
490,,,,,,84,58
491,,,,,,82,62
492,,,,,,81,53
493,,,,,,83,61
494,,,,,,81,70
495,,,,,,84,75
496,,,,,,83,80
497,,,,,,80,88
498,,,,,,82,95
499,,,,,,83,97
500,,,,,,84,104
501,,,,,,85,110
502,,,,,,84,118
503,,,,,,84,125
504,,,,,,80,131
505,,,,,,81,129
506,,,,,,83,127
507,,,,,,83,123
508,,,,,,82,126
509,,,,,,83,126
510,,,,,,81,126
511,,,,,,82,124
512,,,,,,83,129
513,,,,,,83,126
514,,,,,,80,125
515,,,,,,82,123
516,,,,,,83,114
517,,,,,,80,104
518,,,,,,83,98
519,,,,,,83,91
520,,,,,,84,84
521,,,,,,83,83
522,,,,,,83,75
523,,,,,,84,71
524,,,,,,79,69
525,,,,,,82,68
526,,,,,,81,65
527,,,,,,81,56
528,,,,,,83,52
529,,,,,,82,50
530,,,,,,80,51
531,,,,,,82,51
532,,,,,,80,59
533,,,,,,84,64
534,,,,,,82,72
535,,,,,,84,80
536,,,,,,82,84
537,,,,,,85,88
538,,,,,,83,97
539,,,,,,85,100
540,,,,,,82,106
541,,,,,,84,114
542,,,,,,83,121
543,,,,,,82,129
544,,,,,,81,128
545,,,,,,84,130
546,,,,,,83,129
547,,,,,,82,131
548,,,,,,85,135
549,,,,,,82,133
550,,,,,,82,132
551,,,,,,83,133
552,,,,,,83,134
553,,,,,,84,128
554,,,,,,82,119
555,,,,,,80,114
556,,,,,,82,97
557,,,,,,83,89
558,,,,,,82,86
559,,,,,,84,80
560,,,,,,84,75
561,,,,,,83,70
562,,,,,,85,71
563,,,,,,82,68
564,,,,,,83,55
565,,,,,,81,56
566,,,,,,82,53
567,,,,,,82,53
568,,,,,,82,62
569,,,,,,84,63
570,,,,,,84,75
571,,,,,,85,85
572,,,,,,82,94
573,,,,,,81,107
574,,,,,,83,110
575,,,,,,82,118
576,,,,,,84,127
577,,,,,,82,134
578,,,,,,82,141
579,,,,,,80,145
580,,,,,,81,138
581,,,,,,81,138
582,,,,,,84,135
583,,,,,,84,128
584,,,,,,84,120
585,,,,,,84,115
586,,,,,,81,106
587,,,,,,81,103
588,,,,,,82,93
589,,,,,,82,88
590,,,,,,81,81
591,,,,,,82,78
592,,,,,,81,72
593,,,,,,81,65
594,,,,,,81,64
595,,,,,,81,68
596,,,,,,81,67
597,,,,,,83,53
598,,,,,,81,76
599,,,,,,80,128
600,,,,,,82,58
601,,,,,,83,126
602,,,,,,82,231
603,,,,,,82,246
604,,,,,,84,249
605,,,,,,81,252
606,,,,,,84,248
607,,,,,,82,242
608,,,,,,83,241
609,,,,,,80,237
610,,,,,,83,234
611,,,,,,81,243
612,,,,,,84,236
613,,,,,,83,237
614,,,,,,82,239
615,,,,,,82,205
616,,,,,,83,192
617,,,,,,85,218
618,,,,,,84,245
619,,,,,,85,222
620,,,,,,95,334
621,,,,,,101,340
622,,,,,,100,336
623,,,,,,99,333
624,,,,,,101,335
625,,,,,,102,332
626,,,,,,103,332
627,,,,,,99,331
628,,,,,,100,328
629,,,,,,98,330
630,,,,,,102,327
631,,,,,,100,320
632,,,,,,102,320
633,,,,,,101,318
634,,,,,,100,318
635,,,,,,101,315
636,,,,,,101,313
637,,,,,,101,311
638,,,,,,101,311
639,,,,,,101,307
640,,,,,,104,308
641,,,,,,101,304
642,,,,,,103,304
643,,,,,,100,303
644,,,,,,100,302
645,,,,,,100,306
646,,,,,,101,305
647,,,,,,100,302
648,,,,,,101,309
649,,,,,,100,307
650,,,,,,101,311
651,,,,,,102,311
652,,,,,,100,310
653,,,,,,101,312
654,,,,,,101,307
655,,,,,,99,306
656,,,,,,99,310
657,,,,,,103,304
658,,,,,,99,303
659,,,,,,103,302
660,,,,,,89,296
661,,,,,,87,297
662,,,,,,88,294
663,,,,,,89,291
664,,,,,,91,293
665,,,,,,91,290
666,,,,,,81,294
667,,,,,,80,292
668,,,,,,82,293
669,,,,,,89,292
670,,,,,,93,294
671,,,,,,89,292
672,,,,,,88,293
673,,,,,,84,294
674,,,,,,74,294
675,,,,,,91,296
676,,,,,,83,293
677,,,,,,80,291
678,,,,,,78,293
679,,,,,,76,295
680,,,,,,80,293
681,,,,,,75,290
682,,,,,,79,294
683,,,,,,85,296
684,,,,,,96,292
685,,,,,,103,295
686,,,,,,105,297
687,,,,,,102,296
688,,,,,,103,296
689,,,,,,103,294
690,,,,,,102,291
691,,,,,,104,293
692,,,,,,101,297
693,,,,,,105,293
694,,,,,,104,289
695,,,,,,101,291
696,,,,,,104,293
697,,,,,,106,294
698,,,,,,103,297
699,,,,,,104,303
700,,,,,,105,294
701,,,,,,109,299
702,,,,,,109,297
703,,,,,,110,300
704,,,,,,105,297
705,,,,,,104,303
706,,,,,,106,302
707,,,,,,108,298
708,,,,,,110,302
709,,,,,,108,298
710,,,,,,109,300
711,,,,,,105,302
712,,,,,,104,304
713,,,,,,104,300
714,,,,,,102,303
715,,,,,,93,302
716,,,,,,84,303
717,,,,,,75,301
718,,,,,,71,304
719,,,,,,73,304
720,,,,,,71,302
721,,,,,,70,303
722,,,,,,72,302
723,,,,,,70,306
724,,,,,,72,301
725,,,,,,75,305
726,,,,,,75,305
727,,,,,,79,303
728,,,,,,81,303
729,,,,,,88,302
730,,,,,,104,304
731,,,,,,120,299
732,,,,,,110,301
733,,,,,,109,302
734,,,,,,108,301
735,,,,,,106,298
736,,,,,,105,301
737,,,,,,106,302
738,,,,,,104,300
739,,,,,,104,300
740,,,,,,102,299
741,,,,,,105,303
742,,,,,,105,306
743,,,,,,107,303
744,,,,,,108,306
745,,,,,,111,301
746,,,,,,110,305
747,,,,,,115,305
748,,,,,,112,306
749,,,,,,111,305
750,,,,,,110,302
751,,,,,,110,305
752,,,,,,106,305
753,,,,,,109,301
754,,,,,,110,301
755,,,,,,108,305
756,,,,,,110,303
757,,,,,,109,304
758,,,,,,106,305
759,,,,,,103,300
760,,,,,,106,301
761,,,,,,107,300
762,,,,,,109,305
763,,,,,,110,300
764,,,,,,111,300
765,,,,,,111,303
766,,,,,,113,304
767,,,,,,113,301
768,,,,,,113,303
769,,,,,,113,301
770,,,,,,115,301
771,,,,,,112,300
772,,,,,,105,301
773,,,,,,103,302
774,,,,,,95,302
775,,,,,,92,306
776,,,,,,93,304
777,,,,,,89,307
778,,,,,,83,305
779,,,,,,78,306
780,,,,,,78,306
781,,,,,,87,301
782,,,,,,97,300
783,,,,,,103,306
784,,,,,,91,306
785,,,,,,89,304
786,,,,,,91,301
787,,,,,,94,303
788,,,,,,92,303
789,,,,,,86,300
790,,,,,,97,303
791,,,,,,104,302
792,,,,,,102,303
793,,,,,,103,299
794,,,,,,107,298
795,,,,,,108,306
796,,,,,,109,297
797,,,,,,109,299
798,,,,,,113,301
799,,,,,,116,305
800,,,,,,118,302
801,,,,,,118,301
802,,,,,,116,304
803,,,,,,110,308
804,,,,,,109,304
805,,,,,,105,304
806,,,,,,106,303
807,,,,,,104,303
808,,,,,,103,306
809,,,,,,90,302
810,,,,,,86,302
811,,,,,,86,305
812,,,,,,86,308
813,,,,,,84,302
814,,,,,,85,303
815,,,,,,84,301
816,,,,,,87,302
817,,,,,,86,301
818,,,,,,84,305
819,,,,,,86,303
820,,,,,,84,303
821,,,,,,81,304
822,,,,,,79,303
823,,,,,,78,305
824,,,,,,85,301
825,,,,,,91,302
826,,,,,,97,300
827,,,,,,104,302
828,,,,,,110,301
829,,,,,,111,302
830,,,,,,113,301
831,,,,,,113,308
832,,,,,,116,302
833,,,,,,114,307
834,,,,,,115,306
835,,,,,,113,304
836,,,,,,112,303
837,,,,,,108,306
838,,,,,,108,306
839,,,,,,109,303
840,,,,,,108,309
841,,,,,,106,305
842,,,,,,101,303
843,,,,,,96,307
844,,,,,,95,309
845,,,,,,99,303
846,,,,,,99,305
847,,,,,,100,304
848,,,,,,103,306
849,,,,,,105,301
850,,,,,,106,305
851,,,,,,109,305
852,,,,,,112,305
853,,,,,,119,307
